"","userid","id_sede","abilitato"
"1","cpn0065",1,1
"2","cpn5046",1,0
"3","cpn5047",1,0
"4","cpn5048",1,0
"5","cpn5052",1,0
"6","kpe0000",1,0
"7","cpn5056",1,0
"8","CPN5060",1,0
"9","cpn5061",1,0
"10","cpn5062",1,1
"11","cpn5063",1,0
"12","cpn5066",1,0
"13","cpn5064",1,0
"14","cpn5067",1,0
"15","cpn5070",1,0
"16","cud0164",2,1
"17","cud0101",2,1
"18","cud0061",2,0
"19","cud0337",2,1
"20","cud9050",2,0
"21","cud0154",2,1
"22","cud0328",2,1
"23","cud0348",2,0
"24","cud9034",2,0
"25","cud0156",2,0
"26","cud0288",2,1
"27","cud0340",2,1
"28","cud0314",2,1
"29","cud0305",2,1
"30","cud0326",2,1
"31","cud0157",2,1
"32","cud0076",2,0
"33","cud0345",2,1
"34","cud0341",2,1
"35","cud0291",2,1
"36","cud0130",2,1
"37","cud0280",2,1
"38","cpn5053",1,0
"39","cpn5054",1,0
"40","cpn5065",1,0
"41","cud9035",2,1
"42","cud0308",2,1
"43","cud9053",2,1
"44","cud9047",2,1
"45","cud0259",2,1
"46","cud0367",2,0
"47","cud9009",2,1
"48","cud0058",2,0
"49","cud0303",2,0
"50","cud9020",2,1
"51","cud9069",2,0
"52","eud0077",2,1
"53","cud0065",2,1
"54","cud0368",2,0
"55","cud0099",2,1
"56","cud9058",2,1
"57","cud9011",2,1
"58","cud9008",2,1
"59","cud9033",2,1
"60","cud9045",2,1
"61","cud9010",2,1
"62","cud9066",2,1
"63","cud9003",2,0
"64","cud0289",2,0
"65","cud9030",2,1
"66","cud9006",2,1
"67","cud9203",2,0
"68","cud9016",2,1
"69","cud9029",2,1
"70","cud0325",2,0
"71","cud0070",2,1
"72","cud0361",2,1
"73","cud0077",2,1
"74","cud0091",2,1
"75","cud9025",2,1
"76","cud0158",2,1
"77","cud0068",2,1
"78","cud0166",2,1
"79","cud0083",2,1
"80","cud9048",2,1
"81","cud0323",2,1
"82","cud0327",2,1
"83","cud0079",2,1
"84","cud0339",2,1
"85","eud0069",2,1
"86","cud0214",2,1
"87","cud0349",2,0
"88","cud9013",2,1
"89","cud9018",2,1
"90","cud0354",2,1
"91","cud9012",2,1
"92","cud0092",2,1
"93","cud9087",2,1
"94","cud0332",2,0
"95","cud0364",2,1
"96","cud0084",2,1
"97","cud0242",2,0
"98","eud0066",2,1
"99","cud0344",2,1
"100","cud0069",2,0
"101","cud0251",2,0
"102","cud9071",2,0
"103","CUD0163",2,1
